data,long,lat,percentDecline,peakQuarter,averageDecline,rank,rank1,category,percentUnemployment2011,averageUnemploymentRate
"Modesto, CA",-120.997793,37.639344,-65,First Quarter 2006,-26.7,100,-60% to -65%,9,17.2,9.3
"Las Vegas-Paradise, NV",-115.232834,36.222664,-64.5,Fourth Quarter 2006,-26.7,99,-60% to -65%,9,13.8,9.3
"Stockton, CA",-121.286611,37.949495,-63.9,First Quarter 2006,-26.7,98,-60% to -65%,9,16.6,9.3
"Cape Coral-Fort Myers, FL",-81.905924,26.639748,-59.5,First Quarter 2006,-26.7,97,-50% to -59.9%,8,11.7,9.3
"Bakersfield, CA",-119.058155,35.350089,-56.8,Fourth Quarter 2006,-26.7,96,-50% to -59.9%,8,15.3,9.3
"Phoenix-Mesa-Glendale, AZ",-112.065792,33.452301,-56.5,Fourth Quarter 2006,-26.7,95,-50% to -59.9%,8,9,9.3
"North Port-Bradenton-Sarasota, FL",-82.532816,27.356937,-55.4,First Quarter 2006,-26.7,94,-50% to -59.9%,8,10.9,9.3
"Palm Bay-Melbourne-Titusville, FL",-80.651135,28.069786,-55.3,First Quarter 2006,-26.7,93,-50% to -59.9%,8,11.3,9.3
"Riverside-San Bernardino-Ontario, CA",-117.348534,34.03584,-54.6,Fourth Quarter 2006,-26.7,92,-50% to -59.9%,8,14.3,9.3
"Sacramento--Arden-Arcade--Roseville, CA",-121.500107,38.576303,-53.4,Fourth Quarter 2005,-26.7,91,-50% to -59.9%,8,12.4,9.3
"Fresno, CA",-119.79364,36.737005,-53.2,Fourth Quarter 2006,-26.7,90,-50% to -59.9%,8,16.7,9.3
"Miami-Fort Lauderdale-Pompano Beach, FL",-80.170473,25.975199,-52.5,Fourth Quarter 2006,-26.7,89,-50% to -59.9%,8,11.8,9.3
"Orlando-Kissimmee, FL",-81.369767,28.551624,-52.5,Fourth Quarter 2006,-26.7,88,-50% to -59.9%,8,10.4,9.3
